id,short_description,long_description,weblink_id
17,Western Zone of Siberia,"EZ, EY, EX, UA9 (A, C, F, G, J, K, L, M, Q, X) UK, UN-UQ, UH, UI and UJ-UM.",
18,Central Siberian Zone,"UA8 (T, V), UA9 (H, O, U, Y, Z), and UA0 (A, B, H, O, S, U, W).",
19,Eastern Siberian Zone,"UA0 (C, D, E, I, J, K, L, Q, X, Z).",
20,Balkan Zone,"E4, JY, LZ, OD, SV, SV5, SV9, SV/A, TA, YK, YO, ZC4, 4X and 5B.",
21,Southwestern Zone of Asia,"4J, 4K, 4L, A4, A6, A7, A9, AP, EK, EP, HZ, YA, YI, 7O and 9K. (See Notes Below)",
22,Southern Zone of Asia,"A5, S2, VU, VU (Lakshadweep Is.), 4S, 8Q, and 9N.",
23,Central Zone of Asia,"JT, UA0Y, BY3G-L (Nei Mongol), BY9, BY0.",
24,Eastern Zone of Asia,"BQ9 (Pratas), BV, BY1, BY2, BY3A-F (Tian Jin), BY3M-R (He Bei), BY3S-X (Shan Xi), BY4, BY5, BY6, BY7, BY8, VR and XX.",
25,Japanese Zone,"HL, JA and P5.",
26,Southeastern Zone of Asia,"HS, VU (Andaman and Nicobar Islands), XV(3W), XU, XW, XZ and 1S (Spratly Islands).",
27,Philippine Zone,"DU (Philippines), JD1 (Minami Torishima), JD1 (Ogasawara), T8(KC6) (Palau), KH2 (Guam), KH0 (Marianas Is.), V6 (Fed. States of Micronesia) and BS7 (Scarborough Reef).",
28,Indonesian Zone,"H4, P2, V8, YB, 4W (East Timor), 9M and 9V.",
29,Western Zone of Australia,"VK6, VK8, VK9X (Christmas Is.), VK9C (Cocos-Keeling Is.) and some Antarctic stations. (See Notes Below)",
30,Eastern Zone of Australia,"FK/C (Chesterfield), VK1-5, VK7, VK9L (Lord Howe Is.), VK9W (Willis Is.), VK9M (Mellish Reef), VK0 (Macquarie Is.) and some Antarctic stations. (See Notes Below)",
31,Central Pacific Zone,"C2, FO (Marquesas), KH1, KH3, KH4, KH5, KH5K, KH6, KH7, KH7K, KH9, T2, T3, V7 and ZK3.",
32,New Zealand Zone,"A3, FK (except Chesterfield), FO (except Marquesas and Clipperton), FW, H40(Temotu), KH8, VK9N (Norfolk Is.) VP6 (Pitcairn and Ducie), YJ, ZK1, ZK2, ZL, ZL7, ZL8, 3D2, 5W and some Antarctic stations. (See Notes Below)",
33,Northwestern Zone of Africa,"CN, CT3, EA8, EA9, IG9, IH9 (Pantelleria Is.), S0, 3V and 7X.",
34,Northeastern Zone of Africa,"ST, SU and 5A.",
35,Central Zone of Africa,"C5, D4, EL J5, TU, TY, TZ, XT, 3X, 5N, 5T, 5U, 5V, 6W, 9G and 9L.",
36,Equatorial Zone of Africa,"D2, TJ, TL, TN, S9, TR, TT, ZD7, ZD8, 3C, 3C0, 9J, 9Q, 9U and 9X.",
37,Eastern Zone of Africa,"C9, ET, E3, J2, T5, 5H, 5X, 5Z, 7O and 7Q. (See Notes Below)",
38,South African Zone,"A2, V5, ZD9, Z2, ZS1-ZS8, 3DA, 3Y (Bouvet Is.), 7P, and some Antarctic stations. (See Notes Below)",
39,Madagascar Zone,"D6, FT-W, FT-X, FT-Z, FH, FR, S7, VK0 (Heard Is.) VQ9, 3B6/7, 3B8, 3B9, 5R8 and some Antarctic stations. (See Notes Below)",
40,North Atlantic Zone,"W, JX, OX, R1FJ (Franz Josef Land), and TF.",
